K1;K2;K3;K4;K5;K6;K7;K8;K9;K10;K11;K12;K1_2;K2_2;K3_2;K4_2;K5_2;K6_2;K7_2;K8_2;K9_2;K10_2;K11_2;K12_2
5.69;13.92;-2.63;40.73;59.86;62.49;16.64;11.12;-5.52;12.19;12.83;-0.64;5.36;11.07;-0.95;35.61;62.64;63.59;9.54;4.8;-4.74;14.09;14.95;0.86
5.02;11.09;-3.7;47.74;65.58;69.28;12.37;0.85;-11.52;20.36;26.85;-6.49;5.58;12.89;5.12;50.20;69.38;74.50;19.19;0;-19.19;29.21;38.51;-19.3
13.84;17.20;6.98;46.94;64.79;71.77;12.83;13.15;0.32;16.48;26.62;-10.14;14.02;18.08;-0.07;47.48;60.42;60.49;10.93;3.43;-7.5;13.03;15.09;-2.06
-1.80;2.00;-3.2;30.74;66.32;69.52;13.95;4.12;-9.83;15.52;16.66;1.14;-2.32;1.09;-4.34;31.58;65.68;70.02;12.34;3.49;-8.85;15.79;17.55;-1.76
11.31;16.67;7.67;46.88;58.59;66.92;10.60;4.87;-5.73;11.21;21.28;10.07;9.55;15.19;5.65;44.20;59.74;64.09;14.21;12.02;-2.19;22.58;31.47;-8.89
3.43;14.58;0.14;38.24;72.52;72.39;11.94;2.09;-9.85;13.82;21.58;-7.76;4.17;16.28;0.99;40.86;74.33;75.35;9.32;1.08;-8.24;15.88;20.46;-4.58
13.70;22.14;5.23;41.97;70.71;75.47;9.97;7.56;-2.40;10.2;16.91;-6.71;15.07;27.23;7.06;45.85;67.9;74.96;12.51;3.76;-8.75;12.08;15.09;-3.01
15.80;16.05;3.11;42.80;65.5;68.39;12.37;6.37;-6.00;11.23;11.97;-0.74;15.10;16.29;3.54;45.73;65.92;69.46;23.63;20.37;-3.26;13.17;23.6;-10.43
5.93;8.93;4.12;45.02;69.53;73.53;10.58;8.00;-2.58;13.31;18.75;-5.44;6.96;9.19;3.76;43.88;67.39;71.63;14.78;8.09;-6.69;12.91;15.52;-2.61
11.46;18.78;-1.75;43.75;66.79;68.54;9.79;5.14;-4.66;20.42;32.57;-12.15;10.62;16.63;-2.22;43.20;64.46;66.68;9.62;4.79;-4.83;17.49;22.17;-4.68
3.81;16.64;-1.37;36.50;59.73;61.10;14.55;-0.78;-15.33;31.12;42.53;-11.41;4.60;15.42;-0.86;39.08;57.25;58.11;21.72;-1.21;-20.51;16.86;20.63;3.77
9.34;20.53;0.36;49.77;68.25;68.61;13.50;0.31;-13.20;25.63;30.2;-4.57;7.98;19.15;0.51;47.25;70.52;71.03;14.76;-0.68;-14.08;21.56;31.27;-9.71
14.45;16.49;6.67;43.05;73.2;79.87;20.54;8.42;-12.12;20.91;34.74;-13.83;13.03;13.42;6.61;45.21;75.19;81.08;25.25;16;-9.25;19.66;32.22;-12.56
5.80;11.50;2.09;36.15;55.55;57.64;16.89;12.80;-4.08;14.94;27.86;-12.92;5.07;11.28;1.64;38.39;58.28;59.92;10.91;3.28;-7.63;16.16;24.61;-8.45
